Ship By,WO #,Combo #,Customer,Part,Description,Operation Sequence,Formula (Text),Operation Name,Manufacturing Work Center,Manufacturing Cost Template,Remaining Quantity,Completed Quantity,WO Quantity,Qty Completed,Status,1 to 1 Initiating Order,Machine,Hours Remaining
6/19/2026,12110521645WO,,Tarter USA,4000385-1259,Tarter Jumbo Black Label,4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,3067,,3067,0,In Process,,,8.9
6/29/2026,12110521659WO,,"Benchmark Electronics Phoenix, Inc. : Benchmark Electronics (Suzhou) Co Ltd",1283812GT-1001,1283812GT-1002 DECAL Smart Link Rev B TRX1283812 SAP#: 1000247144,7,Die Cut,diemr-diecut-,Die Cut,520-diecut,240,,240,0,Released,Sales Order #13657733DM,,1.2
6/15/2026,12110521833WO,,Toro Company,145-5601-1700,Personal Pace Decal RevA,5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,35000,,35000,0,In Process,,,4.9
6/15/2026,12110521839WO,,Toro Company,140-4186-1700,AWD Air Intake Decal RevB,4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,17200,,17200,0,In Process,,,1.6
6/25/2026,12110521841WO,,Toro Company,133-8061-1700,"Prop 65, Short, Generic Decal RevA",4,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,62400,,62400,0,Released,,,4
6/15/2026,12110521845WO,,Toro Company,139-2388-1700,Smart Speed Decal RevA,5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,8800,,8800,0,In Process,,,1.5
6/8/2026,12110521868WO,,Alamo Group Inc - IL : Alamo Group AG Americas LLC (FKA:  Bush Hog LLC),50081789-1386,10 YEAR GEARBOX WARRANTY DECAL,3,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,1152,,1152,0,Released,Sales Order #13657998DM,,.7
6/25/2026,12110521957WO,,Taylor Corporation,EQ90631-1732,CREW BATHROOM SCALE REMOVER,4,Die Cut,"Die cutting setup, Die Kiss Cut",Die Cut,520-diecut,728,,728,0,Released,Sales Order #13658036DM,,.8
6/25/2026,12110521964WO,,Taylor Corporation,EQ90752 6up-1732,SUMA BREAK UP SC D3.5 - 6/SHT,4,Die Cut,diemr-KISSCUT-,Die Cut,520-diecut,29,,29,0,Released,Sales Order #13658036DM,,.5
6/25/2026,12110521967WO,,Taylor Corporation,EQ90776 6up-1732,SUMA LIGHT D1.2,4,Die Cut,diemr-KISSCUT-,Die Cut,520-diecut,42,,42,0,Released,Sales Order #13658036DM,,.5
6/25/2026,12110521968WO,,Taylor Corporation,EQ90808 6up-1732,SUMA DIVERPAK,4,Die Cut,diemr-KISSCUT-,Die Cut,520-diecut,26,,26,0,Released,Sales Order #13658036DM,,.5
